SN	Pad-value	Protein name (Annotation)
37	0.379793	>gi|21240811|ref|NP_640393.1| penicillin acylase [Xanthomonas axonopodis pv. citri str. 306]
38	0.139222	>gi|21240812|ref|NP_640394.1| conserved hypothetical protein [Xanthomonas axonopodis pv. citri str. 306]
39	0.253180	>gi|21240813|ref|NP_640395.1| transcriptional regulator [Xanthomonas axonopodis pv. citri str. 306]
40	0.387943	>gi|21240814|ref|NP_640396.1| hypothetical protein [Xanthomonas axonopodis pv. citri str. 306]
41	0.210699	>gi|21240815|ref|NP_640397.1| mannosyltransferase B [Xanthomonas axonopodis pv. citri str. 306]
42	0.236781	>gi|21240816|ref|NP_640398.1| glycosyltransferase [Xanthomonas axonopodis pv. citri str. 306]
43	0.170873	>gi|21240817|ref|NP_640399.1| UDP-glucose lipid carrier transferase [Xanthomonas axonopodis pv. citri str. 306]
44	0.187647	>gi|21240818|ref|NP_640400.1| lipopolysaccharide biosynthesis protein [Xanthomonas axonopodis pv. citri str. 306]
45	0.309931	>gi|21240819|ref|NP_640401.1| hypothetical protein [Xanthomonas axonopodis pv. citri str. 306]
46	0.116072	>gi|21240820|ref|NP_640402.1| UDP-N-acetyl-D-mannosamine transferase [Xanthomonas axonopodis pv. citri str. 306]
47	0.185139	>gi|21240821|ref|NP_640403.1| galactosyltransferase [Xanthomonas axonopodis pv. citri str. 306]
48	0.227202	>gi|21240822|ref|NP_640404.1| hypothetical protein [Xanthomonas axonopodis pv. citri str. 306]
49	0.275447	>gi|21240823|ref|NP_640405.1| hypothetical protein [Xanthomonas axonopodis pv. citri str. 306]
50	0.094236	>gi|21240824|ref|NP_640406.1| conserved hypothetical protein [Xanthomonas axonopodis pv. citri str. 306]
51	0.149120	>gi|21240825|ref|NP_640407.1| asparagine synthase [Xanthomonas axonopodis pv. citri str. 306]
52	0.286674	>gi|21240826|ref|NP_640408.1| hypothetical protein [Xanthomonas axonopodis pv. citri str. 306]
53	0.370975	>gi|21240827|ref|NP_640409.1| methyltransferase [Xanthomonas axonopodis pv. citri str. 306]
54	0.251159	>gi|21240828|ref|NP_640410.1| degenerated UDP-glucose epimerase [Xanthomonas axonopodis pv. citri str. 306]
55	0.257540	>gi|21240829|ref|NP_640411.1| hypothetical protein [Xanthomonas axonopodis pv. citri str. 306]
56	0.294493	>gi|21240830|ref|NP_640412.1| polysaccharide export protein [Xanthomonas axonopodis pv. citri str. 306]
57	0.271419	>gi|21240831|ref|NP_640413.1| transport protein [Xanthomonas axonopodis pv. citri str. 306]
58	0.212872	>gi|21240832|ref|NP_640414.1| hypothetical protein [Xanthomonas axonopodis pv. citri str. 306]
59	0.150082	>gi|21240833|ref|NP_640415.1| asparagine synthetase like protein [Xanthomonas axonopodis pv. citri str. 306]
60	0.152875	>gi|21240834|ref|NP_640416.1| hypothetical protein [Xanthomonas axonopodis pv. citri str. 306]
61	0.361505	>gi|21240835|ref|NP_640417.1| conserved hypothetical protein [Xanthomonas axonopodis pv. citri str. 306]
62	0.137550	>gi|21240836|ref|NP_640418.1| conserved hypothetical protein [Xanthomonas axonopodis pv. citri str. 306]
63	0.228075	>gi|21240837|ref|NP_640419.1| aryl sulfotransferase [Xanthomonas axonopodis pv. citri str. 306]
64	0.122850	>gi|21240838|ref|NP_640420.1| acetyltransferase [Xanthomonas axonopodis pv. citri str. 306]
65	0.719307	>gi|21240839|ref|NP_640421.1| microcystin dependent protein [Xanthomonas axonopodis pv. citri str. 306]
66	0.954264	>gi|21240840|ref|NP_640422.1| microcystin dependent protein [Xanthomonas axonopodis pv. citri str. 306]
67	0.906245	>gi|21240841|ref|NP_640423.1| microcystin dependent protein [Xanthomonas axonopodis pv. citri str. 306]
68	0.139044	>gi|21240842|ref|NP_640424.1| hypothetical protein [Xanthomonas axonopodis pv. citri str. 306]
69	0.194642	>gi|21240843|ref|NP_640425.1| methicillin resistance protein [Xanthomonas axonopodis pv. citri str. 306]
70	0.251001	>gi|21240844|ref|NP_640426.1| ankyrin-like protein [Xanthomonas axonopodis pv. citri str. 306]
71	0.600460	>gi|21240845|ref|NP_640427.1| conserved hypothetical protein [Xanthomonas axonopodis pv. citri str. 306]
72	0.239840	>gi|21240846|ref|NP_640428.1| conserved hypothetical protein [Xanthomonas axonopodis pv. citri str. 306]
73	0.307639	>gi|21240847|ref|NP_640429.1| conserved hypothetical protein [Xanthomonas axonopodis pv. citri str. 306]
74	0.412706	>gi|21240848|ref|NP_640430.1| TonB-dependent receptor [Xanthomonas axonopodis pv. citri str. 306]
75	0.285164	>gi|21240849|ref|NP_640431.1| xylose repressor-like protein [Xanthomonas axonopodis pv. citri str. 306]
76	0.197896	>gi|21240850|ref|NP_640432.1| avirulence protein [Xanthomonas axonopodis pv. citri str. 306]
77	0.102836	>gi|21240851|ref|NP_640433.1| conserved hypothetical protein [Xanthomonas axonopodis pv. citri str. 306]
78	0.110847	>gi|21240852|ref|NP_640434.1| ATP-dependent RNA helicase [Xanthomonas axonopodis pv. citri str. 306]
79	0.220618	>gi|21240853|ref|NP_640435.1| hemolysin III [Xanthomonas axonopodis pv. citri str. 306]
80	0.061663	>gi|21240854|ref|NP_640436.1| conserved hypothetical protein [Xanthomonas axonopodis pv. citri str. 306]
81	0.247459	>gi|21240855|ref|NP_640437.1| conserved hypothetical protein [Xanthomonas axonopodis pv. citri str. 306]
82	0.362765	>gi|21240856|ref|NP_640438.1| short chain oxidoreductase [Xanthomonas axonopodis pv. citri str. 306]
83	0.516795	>gi|21240857|ref|NP_640439.1| short chain dehydrogenase [Xanthomonas axonopodis pv. citri str. 306]
84	0.167608	>gi|21240858|ref|NP_640440.1| transcriptional regulator lysR family [Xanthomonas axonopodis pv. citri str. 306]
85	0.169198	>gi|21240859|ref|NP_640441.1| conserved hypothetical protein [Xanthomonas axonopodis pv. citri str. 306]
86	0.036695	>gi|21240860|ref|NP_640442.1| hypothetical protein [Xanthomonas axonopodis pv. citri str. 306]
87	0.270810	>gi|21240861|ref|NP_640443.1| hypothetical protein [Xanthomonas axonopodis pv. citri str. 306]
88	0.212128	>gi|21240862|ref|NP_640444.1| NAD(P)H oxidoreductase [Xanthomonas axonopodis pv. citri str. 306]
89	0.163242	>gi|21240863|ref|NP_640445.1| abortive infection phage resistance protein [Xanthomonas axonopodis pv. citri str. 306]
90	0.057175	>gi|21240864|ref|NP_640446.1| ISxac3 transposase [Xanthomonas axonopodis pv. citri str. 306]
91	0.129769	>gi|21240865|ref|NP_640447.1| ISxac3 transposase [Xanthomonas axonopodis pv. citri str. 306]
92	0.161671	>gi|21240866|ref|NP_640448.1| hypothetical protein [Xanthomonas axonopodis pv. citri str. 306]
93	0.144941	>gi|21240867|ref|NP_640449.1| ISxac1 transposase [Xanthomonas axonopodis pv. citri str. 306]
94	0.123232	>gi|21240868|ref|NP_640450.1| conserved hypothetical protein [Xanthomonas axonopodis pv. citri str. 306]
95	0.168463	>gi|21240869|ref|NP_640451.1| conserved hypothetical protein [Xanthomonas axonopodis pv. citri str. 306]
96	0.331113	>gi|21240870|ref|NP_640452.1| conserved hypothetical protein [Xanthomonas axonopodis pv. citri str. 306]
97	0.239394	>gi|21240871|ref|NP_640453.1| hypothetical protein [Xanthomonas axonopodis pv. citri str. 306]
98	0.421774	>gi|21240872|ref|NP_640454.1| hypothetical protein [Xanthomonas axonopodis pv. citri str. 306]
99	0.338774	>gi|21240873|ref|NP_640455.1| hypothetical protein [Xanthomonas axonopodis pv. citri str. 306]
100	0.495308	>gi|21240874|ref|NP_640456.1| conserved hypothetical protein [Xanthomonas axonopodis pv. citri str. 306]
101	0.225620	>gi|21240875|ref|NP_640457.1| conserved hypothetical protein [Xanthomonas axonopodis pv. citri str. 306]
102	0.322163	>gi|21240876|ref|NP_640458.1| conserved hypothetical protein [Xanthomonas axonopodis pv. citri str. 306]
103	0.169822	>gi|21240877|ref|NP_640459.1| conserved hypothetical protein [Xanthomonas axonopodis pv. citri str. 306]
104	0.408180	>gi|21240878|ref|NP_640460.1| metalloprotease [Xanthomonas axonopodis pv. citri str. 306]
105	0.416646	>gi|21240879|ref|NP_640461.1| conserved hypothetical protein [Xanthomonas axonopodis pv. citri str. 306]
106	0.249028	>gi|21240880|ref|NP_640462.1| MutT-nudix family protein [Xanthomonas axonopodis pv. citri str. 306]
107	0.243706	>gi|21240881|ref|NP_640463.1| hypothetical protein [Xanthomonas axonopodis pv. citri str. 306]
108	0.499427	>gi|21240882|ref|NP_640464.1| AtsE [Xanthomonas axonopodis pv. citri str. 306]
109	0.107339	>gi|21240883|ref|NP_640465.1| thioredoxin [Xanthomonas axonopodis pv. citri str. 306]
110	0.331641	>gi|21240884|ref|NP_640466.1| proline-betaine transporter [Xanthomonas axonopodis pv. citri str. 306]
111	0.364492	>gi|21240885|ref|NP_640467.1| conserved hypothetical protein [Xanthomonas axonopodis pv. citri str. 306]
112	0.174051	>gi|21240886|ref|NP_640468.1| conserved hypothetical protein [Xanthomonas axonopodis pv. citri str. 306]
113	0.275818	>gi|21240887|ref|NP_640469.1| conserved hypothetical protein [Xanthomonas axonopodis pv. citri str. 306]
114	0.211301	>gi|21240888|ref|NP_640470.1| conserved hypothetical protein [Xanthomonas axonopodis pv. citri str. 306]
115	0.298738	>gi|21240889|ref|NP_640471.1| conserved hypothetical protein [Xanthomonas axonopodis pv. citri str. 306]
116	0.280516	>gi|21240890|ref|NP_640472.1| conserved hypothetical protein [Xanthomonas axonopodis pv. citri str. 306]
117	0.175981	>gi|21240891|ref|NP_640473.1| conserved hypothetical protein [Xanthomonas axonopodis pv. citri str. 306]
118	0.236913	>gi|21240892|ref|NP_640474.1| methanol dehydrogenase regulator [Xanthomonas axonopodis pv. citri str. 306]
119	0.502310	>gi|21240893|ref|NP_640475.1| conserved hypothetical protein [Xanthomonas axonopodis pv. citri str. 306]
120	0.222821	>gi|21240894|ref|NP_640476.1| TldD protein [Xanthomonas axonopodis pv. citri str. 306]
121	0.468628	>gi|21240895|ref|NP_640477.1| TldD protein [Xanthomonas axonopodis pv. citri str. 306]
122	0.422230	>gi|21240896|ref|NP_640478.1| TldD protein [Xanthomonas axonopodis pv. citri str. 306]
123	0.239813	>gi|21240897|ref|NP_640479.1| hypothetical protein [Xanthomonas axonopodis pv. citri str. 306]
124	0.130494	>gi|21240898|ref|NP_640480.1| fructose-1,6-bisphosphatase [Xanthomonas axonopodis pv. citri str. 306]
125	0.234304	>gi|21240899|ref|NP_640481.1| aromatic-amino-acid aminotransferase [Xanthomonas axonopodis pv. citri str. 306]
126	0.478209	>gi|21240900|ref|NP_640482.1| iron transporter [Xanthomonas axonopodis pv. citri str. 306]
127	0.288090	>gi|21240901|ref|NP_640483.1| conserved hypothetical protein [Xanthomonas axonopodis pv. citri str. 306]
128	0.144788	>gi|21240902|ref|NP_640484.1| conserved hypothetical protein [Xanthomonas axonopodis pv. citri str. 306]
129	0.341688	>gi|21240903|ref|NP_640485.1| chloroacetaldehyde dehydrogenase [Xanthomonas axonopodis pv. citri str. 306]
130	0.406401	>gi|21240904|ref|NP_640486.1| conserved hypothetical protein [Xanthomonas axonopodis pv. citri str. 306]
131	0.163298	>gi|21240905|ref|NP_640487.1| conserved hypothetical protein [Xanthomonas axonopodis pv. citri str. 306]
132	0.255500	>gi|21240906|ref|NP_640488.1| conserved hypothetical protein [Xanthomonas axonopodis pv. citri str. 306]
133	0.133531	>gi|21240907|ref|NP_640489.1| L-lactate dehydrogenase [Xanthomonas axonopodis pv. citri str. 306]
134	0.420807	>gi|21240908|ref|NP_640490.1| beta-lactamase [Xanthomonas axonopodis pv. citri str. 306]
135	0.228783	>gi|21240909|ref|NP_640491.1| two-component system sensor protein [Xanthomonas axonopodis pv. citri str. 306]
136	0.122275	>gi|21240910|ref|NP_640492.1| two-component system regulatory protein [Xanthomonas axonopodis pv. citri str. 306]
137	0.317218	>gi|21240911|ref|NP_640493.1| conserved hypothetical protein [Xanthomonas axonopodis pv. citri str. 306]
138	0.426877	>gi|21240912|ref|NP_640494.1| hypothetical protein [Xanthomonas axonopodis pv. citri str. 306]
139	0.448746	>gi|21240913|ref|NP_640495.1| conserved hypothetical protein [Xanthomonas axonopodis pv. citri str. 306]
140	0.194412	>gi|21240914|ref|NP_640496.1| transcriptional regulator [Xanthomonas axonopodis pv. citri str. 306]
141	0.303725	>gi|21240915|ref|NP_640497.1| conserved hypothetical protein [Xanthomonas axonopodis pv. citri str. 306]
142	0.233923	>gi|21240916|ref|NP_640498.1| conserved hypothetical protein [Xanthomonas axonopodis pv. citri str. 306]
143	0.162491	>gi|21240917|ref|NP_640499.1| 2-keto-3-deoxygluconate kinase [Xanthomonas axonopodis pv. citri str. 306]
144	0.572472	>gi|21240918|ref|NP_640500.1| TonB-dependent receptor [Xanthomonas axonopodis pv. citri str. 306]
145	0.196411	>gi|21240919|ref|NP_640501.1| conserved hypothetical protein [Xanthomonas axonopodis pv. citri str. 306]
146	0.208952	>gi|21240920|ref|NP_640502.1| hypothetical protein [Xanthomonas axonopodis pv. citri str. 306]
147	0.169474	>gi|21240921|ref|NP_640503.1| conserved hypothetical protein [Xanthomonas axonopodis pv. citri str. 306]
148	0.144941	>gi|21240922|ref|NP_640504.1| ISxac1 transposase [Xanthomonas axonopodis pv. citri str. 306]
149	0.063861	>gi|21240923|ref|NP_640505.1| hypothetical protein [Xanthomonas axonopodis pv. citri str. 306]
150	0.277744	>gi|21240924|ref|NP_640506.1| hypothetical protein [Xanthomonas axonopodis pv. citri str. 306]
151	0.306774	>gi|21240925|ref|NP_640507.1| hypothetical protein [Xanthomonas axonopodis pv. citri str. 306]
152	0.057175	>gi|21240926|ref|NP_640508.1| ISxac3 transposase [Xanthomonas axonopodis pv. citri str. 306]
153	0.036812	>gi|21240927|ref|NP_640509.1| ISxac3 transposase [Xanthomonas axonopodis pv. citri str. 306]
154	0.243274	>gi|21240928|ref|NP_640510.1| alpha-amylase [Xanthomonas axonopodis pv. citri str. 306]
155	0.065105	>gi|21240929|ref|NP_640511.1| trehalose synthase [Xanthomonas axonopodis pv. citri str. 306]
156	0.137891	>gi|21240930|ref|NP_640512.1| 1,4-alpha-glucan branching enzyme [Xanthomonas axonopodis pv. citri str. 306]
157	0.309647	>gi|21240931|ref|NP_640513.1| conserved hypothetical protein [Xanthomonas axonopodis pv. citri str. 306]
158	0.141276	>gi|21240932|ref|NP_640514.1| L-fucose dehydrogenase [Xanthomonas axonopodis pv. citri str. 306]
159	0.193020	>gi|21240933|ref|NP_640515.1| carboxylesterase type B [Xanthomonas axonopodis pv. citri str. 306]
160	0.294884	>gi|21240934|ref|NP_640516.1| xylanase [Xanthomonas axonopodis pv. citri str. 306]
161	0.419617	>gi|21240935|ref|NP_640517.1| 2-keto-4-pentenoate hydratase [Xanthomonas axonopodis pv. citri str. 306]
162	0.223173	>gi|21240936|ref|NP_640518.1| C4-dicarboxylate transport system [Xanthomonas axonopodis pv. citri str. 306]
163	0.219419	>gi|21240937|ref|NP_640519.1| C4-dicarboxylate membrane transport protein [Xanthomonas axonopodis pv. citri str. 306]
164	0.266786	>gi|21240938|ref|NP_640520.1| C4-dicarboxylate transport protein [Xanthomonas axonopodis pv. citri str. 306]
165	0.599289	>gi|21240939|ref|NP_640521.1| xylosidase; arabinosidase [Xanthomonas axonopodis pv. citri str. 306]
166	0.240743	>gi|21240940|ref|NP_640522.1| transcriptional regulator lacI family [Xanthomonas axonopodis pv. citri str. 306]
167	0.439858	>gi|21240941|ref|NP_640523.1| hypothetical protein [Xanthomonas axonopodis pv. citri str. 306]
168	0.333181	>gi|21240942|ref|NP_640524.1| 5-keto-4-deoxyuronate isomerase [Xanthomonas axonopodis pv. citri str. 306]
169	0.532825	>gi|21240943|ref|NP_640525.1| 2-deoxy-D-gluconate 3-dehydrogenase [Xanthomonas axonopodis pv. citri str. 306]
170	0.396003	>gi|21240944|ref|NP_640526.1| sugar-phosphate isomerase [Xanthomonas axonopodis pv. citri str. 306]
171	0.395401	>gi|21240945|ref|NP_640527.1| rhamnogalacturonan acetylesterase [Xanthomonas axonopodis pv. citri str. 306]
172	0.188927	>gi|21240946|ref|NP_640528.1| conserved hypothetical protein [Xanthomonas axonopodis pv. citri str. 306]
173	0.113265	>gi|21240947|ref|NP_640529.1| conserved hypothetical protein [Xanthomonas axonopodis pv. citri str. 306]
174	0.132204	>gi|21240948|ref|NP_640530.1| phenylalanine hydroxylase [Xanthomonas axonopodis pv. citri str. 306]
175	0.267318	>gi|21240949|ref|NP_640531.1| transcriptional regulator asnC family [Xanthomonas axonopodis pv. citri str. 306]
176	0.564630	>gi|21240950|ref|NP_640532.1| ferripyoverdine receptor [Xanthomonas axonopodis pv. citri str. 306]
177	0.433795	>gi|21240951|ref|NP_640533.1| conserved hypothetical protein [Xanthomonas axonopodis pv. citri str. 306]
178	0.393063	>gi|21240952|ref|NP_640534.1| conserved hypothetical protein [Xanthomonas axonopodis pv. citri str. 306]
179	0.110762	>gi|21240953|ref|NP_640535.1| ABC transporter ATP-binding protein [Xanthomonas axonopodis pv. citri str. 306]
180	0.229936	>gi|21240954|ref|NP_640536.1| fatty acid desaturase [Xanthomonas axonopodis pv. citri str. 306]
181	0.330180	>gi|21240955|ref|NP_640537.1| conserved hypothetical protein [Xanthomonas axonopodis pv. citri str. 306]
182	0.123939	>gi|21240956|ref|NP_640538.1| ABC transporter ATP-binding protein [Xanthomonas axonopodis pv. citri str. 306]
183	0.341934	>gi|21240957|ref|NP_640539.1| ABC transporter amino acid permease [Xanthomonas axonopodis pv. citri str. 306]
184	0.232998	>gi|21240958|ref|NP_640540.1| conserved hypothetical protein [Xanthomonas axonopodis pv. citri str. 306]
185	0.222421	>gi|21240959|ref|NP_640541.1| conserved hypothetical protein [Xanthomonas axonopodis pv. citri str. 306]
186	0.110705	>gi|21240960|ref|NP_640542.1| conserved hypothetical protein [Xanthomonas axonopodis pv. citri str. 306]
187	0.184082	>gi|21240961|ref|NP_640543.1| HipA protein [Xanthomonas axonopodis pv. citri str. 306]
188	0.122687	>gi|21240962|ref|NP_640544.1| transcriptional regulator [Xanthomonas axonopodis pv. citri str. 306]
189	0.137375	>gi|21240963|ref|NP_640545.1| indolepyruvate ferredoxin oxidoreductase chain alpha [Xanthomonas axonopodis pv. citri str. 306]
190	0.393424	>gi|21240964|ref|NP_640546.1| conserved hypothetical protein [Xanthomonas axonopodis pv. citri str. 306]
191	0.245801	>gi|21240965|ref|NP_640547.1| conserved hypothetical protein [Xanthomonas axonopodis pv. citri str. 306]
192	0.230230	>gi|21240966|ref|NP_640548.1| partition protein [Xanthomonas axonopodis pv. citri str. 306]
193	0.266443	>gi|21240967|ref|NP_640549.1| conserved hypothetical protein [Xanthomonas axonopodis pv. citri str. 306]
194	0.164095	>gi|21240968|ref|NP_640550.1| conserved hypothetical protein [Xanthomonas axonopodis pv. citri str. 306]
195	0.246213	>gi|21240969|ref|NP_640551.1| cardiolipin synthase [Xanthomonas axonopodis pv. citri str. 306]
196	0.285633	>gi|21240970|ref|NP_640552.1| conserved hypothetical protein [Xanthomonas axonopodis pv. citri str. 306]
197	0.170310	>gi|21240971|ref|NP_640553.1| acetyltransferase [Xanthomonas axonopodis pv. citri str. 306]
198	0.133086	>gi|21240972|ref|NP_640554.1| conserved hypothetical protein [Xanthomonas axonopodis pv. citri str. 306]
199	0.147189	>gi|21240973|ref|NP_640555.1| conserved hypothetical protein [Xanthomonas axonopodis pv. citri str. 306]
200	0.508343	>gi|21240974|ref|NP_640556.1| conserved hypothetical protein [Xanthomonas axonopodis pv. citri str. 306]
201	0.224779	>gi|21240975|ref|NP_640557.1| alcohol dehydrogenase [Xanthomonas axonopodis pv. citri str. 306]
202	0.418826	>gi|21240976|ref|NP_640558.1| conserved hypothetical protein [Xanthomonas axonopodis pv. citri str. 306]
203	0.228778	>gi|21240977|ref|NP_640559.1| undecaprenol kinase [Xanthomonas axonopodis pv. citri str. 306]
204	0.224151	>gi|21240978|ref|NP_640560.1| glutamine synthetase [Xanthomonas axonopodis pv. citri str. 306]
205	0.189387	>gi|21240979|ref|NP_640561.1| nitrogen regulatory protein P-II [Xanthomonas axonopodis pv. citri str. 306]
206	0.371739	>gi|21240980|ref|NP_640562.1| ammonium transporter [Xanthomonas axonopodis pv. citri str. 306]
207	0.133566	>gi|21240981|ref|NP_640563.1| two-component system sensor protein [Xanthomonas axonopodis pv. citri str. 306]
208	0.168220	>gi|21240982|ref|NP_640564.1| two-component system regulatory protein [Xanthomonas axonopodis pv. citri str. 306]
209	0.503878	>gi|21240983|ref|NP_640565.1| superoxide dismutase like protein [Xanthomonas axonopodis pv. citri str. 306]
210	0.734514	>gi|21240984|ref|NP_640566.1| superoxide dismutase [Xanthomonas axonopodis pv. citri str. 306]
211	0.518425	>gi|21240985|ref|NP_640567.1| lactoylglutathione lyase [Xanthomonas axonopodis pv. citri str. 306]
212	0.136985	>gi|21240986|ref|NP_640568.1| conserved hypothetical protein [Xanthomonas axonopodis pv. citri str. 306]
213	0.372641	>gi|21240987|ref|NP_640569.1| acyl-CoA thiolase [Xanthomonas axonopodis pv. citri str. 306]
214	0.275950	>gi|21240988|ref|NP_640570.1| porphyrin biosynthesis protein [Xanthomonas axonopodis pv. citri str. 306]
215	0.261480	>gi|21240989|ref|NP_640571.1| conserved hypothetical protein [Xanthomonas axonopodis pv. citri str. 306]
216	0.320089	>gi|21240990|ref|NP_640572.1| uroporphyrinogen-III synthase [Xanthomonas axonopodis pv. citri str. 306]
217	0.209409	>gi|21240991|ref|NP_640573.1| glycosyltransferase [Xanthomonas axonopodis pv. citri str. 306]
218	0.370911	>gi|21240992|ref|NP_640574.1| conserved hypothetical protein [Xanthomonas axonopodis pv. citri str. 306]
219	0.346886	>gi|21240993|ref|NP_640575.1| conserved hypothetical protein [Xanthomonas axonopodis pv. citri str. 306]
220	0.313391	>gi|21240994|ref|NP_640576.1| conserved hypothetical protein [Xanthomonas axonopodis pv. citri str. 306]
221	0.619341	>gi|21240995|ref|NP_640577.1| protein-export protein [Xanthomonas axonopodis pv. citri str. 306]
222	0.190606	>gi|21240996|ref|NP_640578.1| glycerol-3-phosphate dehydrogenase [Xanthomonas axonopodis pv. citri str. 306]
223	0.681237	>gi|21240997|ref|NP_640579.1| conserved hypothetical protein [Xanthomonas axonopodis pv. citri str. 306]
224	0.120047	>gi|21240998|ref|NP_640580.1| pyruvate dehydrogenase [Xanthomonas axonopodis pv. citri str. 306]
225	0.289920	>gi|21240999|ref|NP_640581.1| two-component system sensor protein [Xanthomonas axonopodis pv. citri str. 306]
226	0.122966	>gi|21241000|ref|NP_640582.1| two-component system regulatory protein [Xanthomonas axonopodis pv. citri str. 306]
227	0.650622	>gi|21241001|ref|NP_640583.1| hypothetical protein [Xanthomonas axonopodis pv. citri str. 306]
228	0.306626	>gi|21241002|ref|NP_640584.1| hypothetical protein [Xanthomonas axonopodis pv. citri str. 306]
229	0.397661	>gi|21241003|ref|NP_640585.1| MFS transporter [Xanthomonas axonopodis pv. citri str. 306]
230	0.500027	>gi|21241004|ref|NP_640586.1| tRNA/rRNA methyltransferase [Xanthomonas axonopodis pv. citri str. 306]
231	0.635976	>gi|21241005|ref|NP_640587.1| conserved hypothetical protein [Xanthomonas axonopodis pv. citri str. 306]
232	0.654491	>gi|21241006|ref|NP_640588.1| conserved hypothetical protein [Xanthomonas axonopodis pv. citri str. 306]
